Season,Date,Time,Status,Team1,Score1,Team2,Score2,Venue,Match-Results
Season 6,"Thursday, 27 December",20:00 (IST),Match 131 - Completed ,Jaipur Pink Panthers,32,Bengaluru Bulls,40,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",Bengaluru Bulls beat Jaipur Pink Panthers (40-32)
Season 6,"Thursday, 27 December",21:00 (IST),Match 132 - Completed ,Bengal Warriors,25,U.P. Yoddha,41,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",U.P. Yoddha beat Bengal Warriors (41-25)
Season 6,"Sunday, 30 December",20:00 (IST),Eliminator 1 - Completed ,U Mumba,29,U.P. Yoddha,34,"Rajiv Gandhi Indoor Stadium, Kochi",U.P. Yoddha beat U Mumba (34-29)
Season 6,"Sunday, 30 December",21:00 (IST),Eliminator 2 - Completed ,Dabang Delhi K.C.,39,Bengal Warriors,28,"Rajiv Gandhi Indoor Stadium, Kochi",Dabang Delhi K.C. beat Bengal Warriors (39-28)
Season 6,"Monday, 31 December",20:00 (IST),Qualifier 1 - Completed ,Gujarat Fortunegiants,29,Bengaluru Bulls,41,"Rajiv Gandhi Indoor Stadium, Kochi",Bengaluru Bulls beat Gujarat Fortunegiants (41-29)
Season 6,"Monday, 31 December",21:00 (IST),Eliminator 3 - Completed ,U.P. Yoddha,45,Dabang Delhi K.C.,33,"Rajiv Gandhi Indoor Stadium, Kochi",U.P. Yoddha beat Dabang Delhi K.C. (45-33)
Season 6,"Thursday, 03 January",20:00 (IST),Qualifier 2 - Completed ,Gujarat Fortunegiants,38,U.P. Yoddha,31,"DOME@NSCI SVP Stadium, Mumbai",Gujarat Fortunegiants beat U.P. Yoddha (38-31)
Season 6,"Saturday, 05 January",20:00 (IST),Final - Completed ,Bengaluru Bulls,38,Gujarat Fortunegiants,33,"DOME@NSCI SVP Stadium, Mumbai",Bengaluru Bulls beat Gujarat Fortunegiants (38-33)
Season 5,"Friday, 28 July",21:00 (IST),Match 2 - Completed ,U Mumba,21,Puneri Paltan,33,"Gachibowli Indoor Stadium, Hyderabad",Puneri Paltan beat U Mumba (33-21)
Season 5,"Saturday, 29 July",20:00 (IST),Match 3 - Completed ,Jaipur Pink Panthers,26,Dabang Delhi K.C.,30,"Gachibowli Indoor Stadium, Hyderabad",Dabang Delhi K.C. beat Jaipur Pink Panthers (30-26)
Season 5,"Saturday, 29 July",21:00 (IST),Match 4 - Completed ,Telugu Titans,29,Patna Pirates,35,"Gachibowli Indoor Stadium, Hyderabad",Patna Pirates beat Telugu Titans (35-29)
Season 5,"Sunday, 30 July",20:00 (IST),Match 5 - Completed ,U Mumba,29,Haryana Steelers,28,"Gachibowli Indoor Stadium, Hyderabad",U Mumba beat Haryana Steelers (29-28)
Season 5,"Sunday, 30 July",21:00 (IST),Match 6 - Completed ,Telugu Titans,21,Bengaluru Bulls,31,"Gachibowli Indoor Stadium, Hyderabad",Bengaluru Bulls beat Telugu Titans (31-21)
Season 5,"Tuesday, 01 August",20:00 (IST),Match 7 - Completed ,Gujarat Fortunegiants,26,Dabang Delhi K.C.,20,"Gachibowli Indoor Stadium, Hyderabad",Gujarat Fortunegiants beat Dabang Delhi K.C. (26-20)
Season 5,"Tuesday, 01 August",21:00 (IST),Match 8 - Completed ,Telugu Titans,18,U.P. Yoddha,31,"Gachibowli Indoor Stadium, Hyderabad",U.P. Yoddha beat Telugu Titans (31-18)
Season 5,"Wednesday, 02 August",20:00 (IST),Match 9 - Completed ,Gujarat Fortunegiants,27,Haryana Steelers,27,"Gachibowli Indoor Stadium, Hyderabad",Match Tied
Season 5,"Wednesday, 02 August",21:00 (IST),Match 10 - Completed ,Telugu Titans,24,Bengal Warriors,30,"Gachibowli Indoor Stadium, Hyderabad",Bengal Warriors beat Telugu Titans (30-24)
Season 5,"Thursday, 03 August",20:00 (IST),Match 11 - Completed ,Telugu Titans,36,Patna Pirates,43,"Gachibowli Indoor Stadium, Hyderabad",Patna Pirates beat Telugu Titans (43-36)
Season 5,"Friday, 04 August",20:00 (IST),Match 12 - Completed ,Bengaluru Bulls,32,Tamil Thalaivas,31,"Mankapur Indoor Stadium, Nagpur",Bengaluru Bulls beat Tamil Thalaivas (32-31)
Season 5,"Friday, 04 August",21:00 (IST),Match 13 - Completed ,Puneri Paltan,26,Dabang Delhi K.C.,21,"Mankapur Indoor Stadium, Nagpur",Puneri Paltan beat Dabang Delhi K.C. (26-21)
Season 5,"Saturday, 05 August",20:00 (IST),Match 14 - Completed ,U Mumba,36,Dabang Delhi K.C.,22,"Mankapur Indoor Stadium, Nagpur",U Mumba beat Dabang Delhi K.C. (36-22)
Season 5,"Saturday, 05 August",21:00 (IST),Match 15 - Completed ,Bengaluru Bulls,27,U.P. Yoddha,32,"Mankapur Indoor Stadium, Nagpur",U.P. Yoddha beat Bengaluru Bulls (32-27)
Season 5,"Sunday, 06 August",20:00 (IST),Match 16 - Completed ,Bengal Warriors,40,U.P. Yoddha,20,"Mankapur Indoor Stadium, Nagpur",Bengal Warriors beat U.P. Yoddha (40-20)
Season 5,"Sunday, 06 August",21:00 (IST),Match 17 - Completed ,Bengaluru Bulls,32,Patna Pirates,46,"Mankapur Indoor Stadium, Nagpur",Patna Pirates beat Bengaluru Bulls (46-32)
Season 5,"Tuesday, 08 August",20:00 (IST),Match 18 - Completed ,Gujarat Fortunegiants,20,Haryana Steelers,32,"Mankapur Indoor Stadium, Nagpur",Haryana Steelers beat Gujarat Fortunegiants (32-20)
Season 5,"Tuesday, 08 August",21:00 (IST),Match 19 - Completed ,Bengaluru Bulls,21,Telugu Titans,21,"Mankapur Indoor Stadium, Nagpur",Match Tied
Season 5,"Wednesday, 09 August",20:00 (IST),Match 20 - Completed ,Bengaluru Bulls,31,Bengal Warriors,25,"Mankapur Indoor Stadium, Nagpur",Bengaluru Bulls beat Bengal Warriors (31-25)
Season 5,"Thursday, 10 August",20:00 (IST),Match 21 - Completed ,Puneri Paltan,28,Jaipur Pink Panthers,30,"Mankapur Indoor Stadium, Nagpur",Jaipur Pink Panthers beat Puneri Paltan (30-28)
Season 5,"Thursday, 10 August",21:00 (IST),Match 22 - Completed ,Bengaluru Bulls,24,Tamil Thalaivas,29,"Mankapur Indoor Stadium, Nagpur",Tamil Thalaivas beat Bengaluru Bulls (29-24)
Season 5,"Friday, 11 August",20:00 (IST),Match 23 - Completed ,Gujarat Fortunegiants,39,U Mumba,21,"The Arena by Transstadia, Ahmedabad",Gujarat Fortunegiants beat U Mumba (39-21)
Season 5,"Saturday, 12 August",20:00 (IST),Match 24 - Completed ,Telugu Titans,32,U.P. Yoddha,39,"The Arena by Transstadia, Ahmedabad",U.P. Yoddha beat Telugu Titans (39-32)
Season 5,"Saturday, 12 August",21:00 (IST),Match 25 - Completed ,Gujarat Fortunegiants,29,Dabang Delhi K.C.,25,"The Arena by Transstadia, Ahmedabad",Gujarat Fortunegiants beat Dabang Delhi K.C. (29-25)
Season 5,"Sunday, 13 August",20:00 (IST),Match 26 - Completed ,Patna Pirates,27,U.P. Yoddha,27,"The Arena by Transstadia, Ahmedabad",Match Tied
Season 5,"Sunday, 13 August",21:00 (IST),Match 27 - Completed ,Gujarat Fortunegiants,27,Jaipur Pink Panthers,20,"The Arena by Transstadia, Ahmedabad",Gujarat Fortunegiants beat Jaipur Pink Panthers (27-20)
Season 5,"Tuesday, 15 August",20:00 (IST),Match 28 - Completed ,Bengal Warriors,17,Puneri Paltan,34,"The Arena by Transstadia, Ahmedabad",Puneri Paltan beat Bengal Warriors (34-17)
Season 5,"Tuesday, 15 August",21:00 (IST),Match 29 - Completed ,Gujarat Fortunegiants,27,Bengaluru Bulls,24,"The Arena by Transstadia, Ahmedabad",Gujarat Fortunegiants beat Bengaluru Bulls (27-24)
Season 5,"Wednesday, 16 August",20:00 (IST),Match 30 - Completed ,Haryana Steelers,25,Tamil Thalaivas,25,"The Arena by Transstadia, Ahmedabad",Match Tied
Season 5,"Wednesday, 16 August",21:00 (IST),Match 31 - Completed ,Gujarat Fortunegiants,29,Telugu Titans,19,"The Arena by Transstadia, Ahmedabad",Gujarat Fortunegiants beat Telugu Titans (29-19)
Season 5,"Thursday, 17 August",20:00 (IST),Match 32 - Completed ,Dabang Delhi K.C.,30,Tamil Thalaivas,29,"The Arena by Transstadia, Ahmedabad",Dabang Delhi K.C. beat Tamil Thalaivas (30-29)
Season 5,"Thursday, 17 August",21:00 (IST),Match 33 - Completed ,Gujarat Fortunegiants,26,Bengal Warriors,26,"The Arena by Transstadia, Ahmedabad",Match Tied
Season 5,"Friday, 18 August",20:00 (IST),Match 34 - Completed ,U.P. Yoddha,34,U Mumba,37,"Babu Banarasi Das Indoor Stadium, Lucknow",U Mumba beat U.P. Yoddha (37-34)
Season 5,"Friday, 18 August",21:00 (IST),Match 35 - Completed ,Bengaluru Bulls,28,Jaipur Pink Panthers,30,"Babu Banarasi Das Indoor Stadium, Lucknow",Jaipur Pink Panthers beat Bengaluru Bulls (30-28)
Season 5,"Saturday, 19 August",20:00 (IST),Match 36 - Completed ,Telugu Titans,37,U Mumba,32,"Babu Banarasi Das Indoor Stadium, Lucknow",Telugu Titans beat U Mumba (37-32)
Season 5,"Saturday, 19 August",21:00 (IST),Match 37 - Completed ,U.P. Yoddha,29,Haryana Steelers,36,"Babu Banarasi Das Indoor Stadium, Lucknow",Haryana Steelers beat U.P. Yoddha (36-29)
Season 5,"Sunday, 20 August",20:00 (IST),Match 38 - Completed ,Patna Pirates,42,Puneri Paltan,47,"Babu Banarasi Das Indoor Stadium, Lucknow",Puneri Paltan beat Patna Pirates (47-42)
Season 5,"Sunday, 20 August",21:00 (IST),Match 39 - Completed ,U.P. Yoddha,22,Jaipur Pink Panthers,24,"Babu Banarasi Das Indoor Stadium, Lucknow",Jaipur Pink Panthers beat U.P. Yoddha (24-22)
Season 5,"Tuesday, 22 August",20:00 (IST),Match 40 - Completed ,Gujarat Fortunegiants,35,Puneri Paltan,21,"Babu Banarasi Das Indoor Stadium, Lucknow",Gujarat Fortunegiants beat Puneri Paltan (35-21)
Season 5,"Tuesday, 22 August",21:00 (IST),Match 41 - Completed ,U.P. Yoddha,31,Bengal Warriors,32,"Babu Banarasi Das Indoor Stadium, Lucknow",Bengal Warriors beat U.P. Yoddha (32-31)
Season 5,"Wednesday, 23 August",20:00 (IST),Match 42 - Completed ,Haryana Steelers,27,Dabang Delhi K.C.,25,"Babu Banarasi Das Indoor Stadium, Lucknow",Haryana Steelers beat Dabang Delhi K.C. (27-25)
Season 5,"Wednesday, 23 August",21:00 (IST),Match 43 - Completed ,U.P. Yoddha,33,Tamil Thalaivas,33,"Babu Banarasi Das Indoor Stadium, Lucknow",Match Tied
Season 5,"Thursday, 24 August",20:00 (IST),Match 44 - Completed ,U.P. Yoddha,25,Telugu Titans,23,"Babu Banarasi Das Indoor Stadium, Lucknow",U.P. Yoddha beat Telugu Titans (25-23)
Season 5,"Friday, 25 August",20:00 (IST),Match 45 - Completed ,U Mumba,36,Jaipur Pink Panthers,39,"DOME@NSCI SVP Stadium, Mumbai",Jaipur Pink Panthers beat U Mumba (39-36)
Season 5,"Friday, 25 August",21:00 (IST),Match 46 - Completed ,Bengal Warriors,36,Patna Pirates,36,"DOME@NSCI SVP Stadium, Mumbai",Match Tied
Season 5,"Saturday, 26 August",20:00 (IST),Match 47 - Completed ,Patna Pirates,35,Tamil Thalaivas,24,"DOME@NSCI SVP Stadium, Mumbai",Patna Pirates beat Tamil Thalaivas (35-24)
Season 5,"Saturday, 26 August",21:00 (IST),Match 48 - Completed ,U Mumba,24,Puneri Paltan,26,"DOME@NSCI SVP Stadium, Mumbai",Puneri Paltan beat U Mumba (26-24)
Season 5,"Sunday, 27 August",20:00 (IST),Match 49 - Completed ,Bengal Warriors,32,Bengaluru Bulls,26,"DOME@NSCI SVP Stadium, Mumbai",Bengal Warriors beat Bengaluru Bulls (32-26)
Season 5,"Sunday, 27 August",21:00 (IST),Match 50 - Completed ,U Mumba,32,Dabang Delhi K.C.,33,"DOME@NSCI SVP Stadium, Mumbai",Dabang Delhi K.C. beat U Mumba (33-32)
Season 5,"Wednesday, 30 August",20:00 (IST),Match 53 - Completed ,U Mumba,38,Haryana Steelers,32,"DOME@NSCI SVP Stadium, Mumbai",U Mumba beat Haryana Steelers (38-32)
Season 5,"Thursday, 31 August",20:00 (IST),Match 54 - Completed ,Telugu Titans,33,Tamil Thalaivas,28,"DOME@NSCI SVP Stadium, Mumbai",Telugu Titans beat Tamil Thalaivas (33-28)
Season 5,"Thursday, 31 August",21:00 (IST),Match 55 - Completed ,U Mumba,36,Jaipur Pink Panthers,32,"DOME@NSCI SVP Stadium, Mumbai",U Mumba beat Jaipur Pink Panthers (36-32)
Season 5,"Friday, 01 September",20:00 (IST),Match 56 - Completed ,Bengal Warriors,41,Patna Pirates,38,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",Bengal Warriors beat Patna Pirates (41-38)
Season 5,"Saturday, 02 September",20:00 (IST),Match 57 - Completed ,Gujarat Fortunegiants,36,Haryana Steelers,42,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",Haryana Steelers beat Gujarat Fortunegiants (42-36)
Season 5,"Saturday, 02 September",21:00 (IST),Match 58 - Completed ,Bengal Warriors,26,U.P. Yoddha,26,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",Match Tied
Season 5,"Sunday, 03 September",20:00 (IST),Match 59 - Completed ,Gujarat Fortunegiants,25,Jaipur Pink Panthers,31,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",Jaipur Pink Panthers beat Gujarat Fortunegiants (31-25)
Season 5,"Sunday, 03 September",21:00 (IST),Match 60 - Completed ,Bengal Warriors,29,Tamil Thalaivas,25,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",Bengal Warriors beat Tamil Thalaivas (29-25)
Season 5,"Tuesday, 05 September",20:00 (IST),Match 61 - Completed ,Patna Pirates,47,Jaipur Pink Panthers,21,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",Patna Pirates beat Jaipur Pink Panthers (47-21)
Season 5,"Tuesday, 05 September",21:00 (IST),Match 62 - Completed ,Bengal Warriors,29,Haryana Steelers,36,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",Haryana Steelers beat Bengal Warriors (36-29)
Season 5,"Wednesday, 06 September",20:00 (IST),Match 63 - Completed ,Dabang Delhi K.C.,38,Bengaluru Bulls,30,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",Dabang Delhi K.C. beat Bengaluru Bulls (38-30)
Season 5,"Wednesday, 06 September",21:00 (IST),Match 64 - Completed ,Bengal Warriors,31,U Mumba,37,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",U Mumba beat Bengal Warriors (37-31)
Season 5,"Thursday, 07 September",20:00 (IST),Match 65 - Completed ,Telugu Titans,37,Puneri Paltan,42,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",Puneri Paltan beat Telugu Titans (42-37)
Season 5,"Thursday, 07 September",21:00 (IST),Match 66 - Completed ,Bengal Warriors,31,Dabang Delhi K.C.,31,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",Match Tied
Season 5,"Friday, 08 September",20:00 (IST),Match 67 - Completed ,Haryana Steelers,41,Patna Pirates,41,"Motilal Nehru School of Sports, Rai, Sonepat",Match Tied
Season 5,"Friday, 08 September",21:00 (IST),Match 68 - Completed ,Gujarat Fortunegiants,30,U.P. Yoddha,30,"Motilal Nehru School of Sports, Rai, Sonepat",Match Tied
Season 5,"Saturday, 09 September",20:00 (IST),Match 69 - Completed ,Patna Pirates,41,U Mumba,51,"Motilal Nehru School of Sports, Rai, Sonepat",U Mumba beat Patna Pirates (51-41)
Season 5,"Saturday, 09 September",21:00 (IST),Match 70 - Completed ,Haryana Steelers,38,Bengaluru Bulls,31,"Motilal Nehru School of Sports, Rai, Sonepat",Haryana Steelers beat Bengaluru Bulls (38-31)
Season 5,"Sunday, 10 September",20:00 (IST),Match 71 - Completed ,Bengaluru Bulls,24,Puneri Paltan,20,"Motilal Nehru School of Sports, Rai, Sonepat",Bengaluru Bulls beat Puneri Paltan (24-20)
Season 5,"Sunday, 10 September",21:00 (IST),Match 72 - Completed ,Haryana Steelers,19,Telugu Titans,37,"Motilal Nehru School of Sports, Rai, Sonepat",Telugu Titans beat Haryana Steelers (37-19)
Season 5,"Tuesday, 12 September",20:00 (IST),Match 73 - Completed ,Bengal Warriors,32,Telugu Titans,31,"Motilal Nehru School of Sports, Rai, Sonepat",Bengal Warriors beat Telugu Titans (32-31)
Season 5,"Tuesday, 12 September",21:00 (IST),Match 74 - Completed ,Haryana Steelers,27,Dabang Delhi K.C.,24,"Motilal Nehru School of Sports, Rai, Sonepat",Haryana Steelers beat Dabang Delhi K.C. (27-24)
Season 5,"Wednesday, 13 September",20:00 (IST),Match 75 - Completed ,Tamil Thalaivas,34,U.P. Yoddha,33,"Motilal Nehru School of Sports, Rai, Sonepat",Tamil Thalaivas beat U.P. Yoddha (34-33)
Season 5,"Wednesday, 13 September",21:00 (IST),Match 76 - Completed ,Haryana Steelers,22,Puneri Paltan,38,"Motilal Nehru School of Sports, Rai, Sonepat",Puneri Paltan beat Haryana Steelers (38-22)
Season 5,"Thursday, 14 September",20:00 (IST),Match 77 - Completed ,Haryana Steelers,27,Jaipur Pink Panthers,27,"Motilal Nehru School of Sports, Rai, Sonepat",Match Tied
Season 5,"Friday, 15 September",20:00 (IST),Match 78 - Completed ,Patna Pirates,46,Telugu Titans,30,"Harivansh Tana Bhagat Indoor Stadium, Ranchi",Patna Pirates beat Telugu Titans (46-30)
Season 5,"Friday, 15 September",21:00 (IST),Match 79 - Completed ,U Mumba,28,Gujarat Fortunegiants,39,"Harivansh Tana Bhagat Indoor Stadium, Ranchi",Gujarat Fortunegiants beat U Mumba (39-28)
Season 5,"Saturday, 16 September",20:00 (IST),Match 80 - Completed ,Bengaluru Bulls,26,Telugu Titans,26,"Harivansh Tana Bhagat Indoor Stadium, Ranchi",Match Tied
Season 5,"Saturday, 16 September",21:00 (IST),Match 81 - Completed ,Patna Pirates,45,U.P. Yoddha,42,"Harivansh Tana Bhagat Indoor Stadium, Ranchi",Patna Pirates beat U.P. Yoddha (45-42)
Season 5,"Sunday, 17 September",20:00 (IST),Match 82 - Completed ,Jaipur Pink Panthers,36,Dabang Delhi K.C.,25,"Harivansh Tana Bhagat Indoor Stadium, Ranchi",Jaipur Pink Panthers beat Dabang Delhi K.C. (36-25)
Season 5,"Sunday, 17 September",21:00 (IST),Match 83 - Completed ,Patna Pirates,37,Bengal Warriors,37,"Harivansh Tana Bhagat Indoor Stadium, Ranchi",Match Tied
Season 5,"Tuesday, 19 September",20:00 (IST),match 84 - Completed ,Puneri Paltan,37,Haryana Steelers,25,"Harivansh Tana Bhagat Indoor Stadium, Ranchi",Puneri Paltan beat Haryana Steelers (37-25)
Season 5,"Tuesday, 19 September",21:00 (IST),Match 85 - Completed ,Patna Pirates,36,Bengaluru Bulls,32,"Harivansh Tana Bhagat Indoor Stadium, Ranchi",Patna Pirates beat Bengaluru Bulls (36-32)
Season 5,"Wednesday, 20 September",20:00 (IST),Match 52 - Completed ,U Mumba,23,Gujarat Fortunegiants,45,"Harivansh Tana Bhagat Indoor Stadium, Ranchi",Gujarat Fortunegiants beat U Mumba (45-23)
Season 5,"Wednesday, 20 September",21:00 (IST),Match 86 - Completed ,Patna Pirates,41,Tamil Thalaivas,39,"Harivansh Tana Bhagat Indoor Stadium, Ranchi",Patna Pirates beat Tamil Thalaivas (41-39)
Season 5,"Thursday, 21 September",20:00 (IST),Match 87 - Completed ,Jaipur Pink Panthers,26,Haryana Steelers,30,"Harivansh Tana Bhagat Indoor Stadium, Ranchi",Haryana Steelers beat Jaipur Pink Panthers (30-26)
Season 5,"Thursday, 21 September",21:00 (IST),Match 88 - Completed ,Patna Pirates,41,U.P. Yoddha,46,"Harivansh Tana Bhagat Indoor Stadium, Ranchi",U.P. Yoddha beat Patna Pirates (46-41)
Season 5,"Friday, 22 September",20:00 (IST),Match 89 - Completed ,Dabang Delhi K.C.,28,U Mumba,30,"Thyagaraj Sports Complex, Delhi",U Mumba beat Dabang Delhi K.C. (30-28)
Season 5,"Saturday, 23 September",20:00 (IST),Match 90 - Completed ,Bengaluru Bulls,29,Bengal Warriors,33,"Thyagaraj Sports Complex, Delhi",Bengal Warriors beat Bengaluru Bulls (33-29)
Season 5,"Saturday, 23 September",21:00 (IST),Match 91 - Completed ,Dabang Delhi K.C.,29,Puneri Paltan,34,"Thyagaraj Sports Complex, Delhi",Puneri Paltan beat Dabang Delhi K.C. (34-29)
Season 5,"Sunday, 24 September",20:00 (IST),Match 92 - Completed ,Bengal Warriors,32,Tamil Thalaivas,33,"Thyagaraj Sports Complex, Delhi",Tamil Thalaivas beat Bengal Warriors (33-32)
Season 5,"Sunday, 24 September",21:00 (IST),Match 93 - Completed ,Dabang Delhi K.C.,24,Haryana Steelers,42,"Thyagaraj Sports Complex, Delhi",Haryana Steelers beat Dabang Delhi K.C. (42-24)
Season 5,"Tuesday, 26 September",20:00 (IST),Match 94 - Completed ,Gujarat Fortunegiants,34,Tamil Thalaivas,35,"Thyagaraj Sports Complex, Delhi",Tamil Thalaivas beat Gujarat Fortunegiants (35-34)
Season 5,"Tuesday, 26 September",21:00 (IST),Match 95 - Completed ,Dabang Delhi K.C.,34,Patna Pirates,36,"Thyagaraj Sports Complex, Delhi",Patna Pirates beat Dabang Delhi K.C. (36-34)
Season 5,"Wednesday, 27 September",20:00 (IST),Match 96 - Completed ,Telugu Titans,41,Jaipur Pink Panthers,34,"Thyagaraj Sports Complex, Delhi",Telugu Titans beat Jaipur Pink Panthers (41-34)
Season 5,"Wednesday, 27 September",21:00 (IST),Match 97 - Completed ,Dabang Delhi K.C.,16,U.P. Yoddha,45,"Thyagaraj Sports Complex, Delhi",U.P. Yoddha beat Dabang Delhi K.C. (45-16)
Season 5,"Thursday, 28 September",20:00 (IST),Match 98 - Completed ,Bengaluru Bulls,30,U Mumba,42,"Thyagaraj Sports Complex, Delhi",U Mumba beat Bengaluru Bulls (42-30)
Season 5,"Thursday, 28 September",21:00 (IST),Match 99 - Completed ,Dabang Delhi K.C.,22,Telugu Titans,44,"Thyagaraj Sports Complex, Delhi",Telugu Titans beat Dabang Delhi K.C. (44-22)
Season 5,"Friday, 29 September",20:00 (IST),Match 100 - Completed ,Tamil Thalaivas,20,Puneri Paltan,33,"Jawaharlal Nehru Indoor Stadium, Chennai",Puneri Paltan beat Tamil Thalaivas (33-20)
Season 5,"Friday, 29 September",21:00 (IST),Match 101 - Completed ,Gujarat Fortunegiants,30,Patna Pirates,29,"Jawaharlal Nehru Indoor Stadium, Chennai",Gujarat Fortunegiants beat Patna Pirates (30-29)
Season 5,"Saturday, 30 September",20:00 (IST),Match 102 - Completed ,Puneri Paltan,34,U.P. Yoddha,33,"Jawaharlal Nehru Indoor Stadium, Chennai",Puneri Paltan beat U.P. Yoddha (34-33)
Season 5,"Saturday, 30 September",21:00 (IST),Match 103 - Completed ,Tamil Thalaivas,26,Jaipur Pink Panthers,27,"Jawaharlal Nehru Indoor Stadium, Chennai",Jaipur Pink Panthers beat Tamil Thalaivas (27-26)
Season 5,"Sunday, 01 October",20:00 (IST),Match 104 - Completed ,Jaipur Pink Panthers,31,Bengal Warriors,32,"Jawaharlal Nehru Indoor Stadium, Chennai",Bengal Warriors beat Jaipur Pink Panthers (32-31)
Season 5,"Sunday, 01 October",21:00 (IST),Match 105 - Completed ,Tamil Thalaivas,30,U Mumba,33,"Jawaharlal Nehru Indoor Stadium, Chennai",U Mumba beat Tamil Thalaivas (33-30)
Season 5,"Tuesday, 03 October",20:00 (IST),Match 106 - Completed ,Dabang Delhi K.C.,22,Gujarat Fortunegiants,42,"Jawaharlal Nehru Indoor Stadium, Chennai",Gujarat Fortunegiants beat Dabang Delhi K.C. (42-22)
Season 5,"Tuesday, 03 October",21:00 (IST),Match 107 - Completed ,Tamil Thalaivas,37,Telugu Titans,58,"Jawaharlal Nehru Indoor Stadium, Chennai",Telugu Titans beat Tamil Thalaivas (58-37)
Season 5,"Wednesday, 04 October",20:00 (IST),Match 108 - Completed ,U Mumba,30,Haryana Steelers,41,"Jawaharlal Nehru Indoor Stadium, Chennai",Haryana Steelers beat U Mumba (41-30)
Season 5,"Wednesday, 04 October",21:00 (IST),Match 109 - Completed ,Tamil Thalaivas,33,U.P. Yoddha,37,"Jawaharlal Nehru Indoor Stadium, Chennai",U.P. Yoddha beat Tamil Thalaivas (37-33)
Season 5,"Thursday, 05 October",20:00 (IST),Match 110 - Completed ,Tamil Thalaivas,35,Bengaluru Bulls,45,"Jawaharlal Nehru Indoor Stadium, Chennai",Bengaluru Bulls beat Tamil Thalaivas (45-35)
Season 5,"Friday, 06 October",20:00 (IST),Match 111 - Completed ,Jaipur Pink Panthers,23,Gujarat Fortunegiants,29,"Sawai Mansingh Stadium, Jaipur",Gujarat Fortunegiants beat Jaipur Pink Panthers (29-23)
Season 5,"Friday, 06 October",21:00 (IST),Match 112 - Completed ,Puneri Paltan,19,Bengal Warriors,25,"Sawai Mansingh Stadium, Jaipur",Bengal Warriors beat Puneri Paltan (25-19)
Season 5,"Saturday, 07 October",20:00 (IST),Match 113 - Completed ,Haryana Steelers,32,Telugu Titans,30,"Sawai Mansingh Stadium, Jaipur",Haryana Steelers beat Telugu Titans (32-30)
Season 5,"Saturday, 07 October",21:00 (IST),Match 114 - Completed ,Jaipur Pink Panthers,36,U Mumba,32,"Sawai Mansingh Stadium, Jaipur",Jaipur Pink Panthers beat U Mumba (36-32)
Season 5,"Sunday, 08 October",20:00 (IST),Match 115 - Completed ,Gujarat Fortunegiants,33,Patna Pirates,29,"Sawai Mansingh Stadium, Jaipur",Gujarat Fortunegiants beat Patna Pirates (33-29)
Season 5,"Sunday, 08 October",21:00 (IST),Match 116 - Completed ,Jaipur Pink Panthers,30,Puneri Paltan,38,"Sawai Mansingh Stadium, Jaipur",Puneri Paltan beat Jaipur Pink Panthers (38-30)
Season 5,"Tuesday, 10 October",20:00 (IST),Match 117 - Completed ,U Mumba,35,Tamil Thalaivas,38,"Sawai Mansingh Stadium, Jaipur",Tamil Thalaivas beat U Mumba (38-35)
Season 5,"Tuesday, 10 October",21:00 (IST),Match 118 - Completed ,Jaipur Pink Panthers,34,Dabang Delhi K.C.,35,"Sawai Mansingh Stadium, Jaipur",Dabang Delhi K.C. beat Jaipur Pink Panthers (35-34)
Season 5,"Wednesday, 11 October",20:00 (IST),Match 119 - Completed ,Dabang Delhi K.C.,32,Bengaluru Bulls,35,"Sawai Mansingh Stadium, Jaipur",Bengaluru Bulls beat Dabang Delhi K.C. (35-32)
Season 5,"Wednesday, 11 October",21:00 (IST),Match 120 - Completed ,Jaipur Pink Panthers,27,Haryana Steelers,37,"Sawai Mansingh Stadium, Jaipur",Haryana Steelers beat Jaipur Pink Panthers (37-27)
Season 5,"Thursday, 12 October",20:00 (IST),Match 121 - Completed ,Jaipur Pink Panthers,32,U.P. Yoddha,53,"Sawai Mansingh Stadium, Jaipur",U.P. Yoddha beat Jaipur Pink Panthers (53-32)
Season 5,"Friday, 13 October",20:00 (IST),Match 122 - Completed ,Puneri Paltan,20,Gujarat Fortunegiants,44,"Shree Shiv Chhatrapati Sports Complex, Pune",Gujarat Fortunegiants beat Puneri Paltan (44-20)
Season 5,"Friday, 13 October",21:00 (IST),Match 123 - Completed ,Bengal Warriors,34,Tamil Thalaivas,30,"Shree Shiv Chhatrapati Sports Complex, Pune",Bengal Warriors beat Tamil Thalaivas (34-30)
